Epoch [1/3000], Trn Loss: 146534.3750, Val Loss: 31409.2500
Epoch [2/3000], Trn Loss: 139018.6250, Val Loss: 30855.5254
Epoch [3/3000], Trn Loss: 129168.9219, Val Loss: 27552.7891
Epoch [4/3000], Trn Loss: 118886.0000, Val Loss: 24223.9219
Epoch [5/3000], Trn Loss: 110041.4609, Val Loss: 21858.5996
Epoch [6/3000], Trn Loss: 101337.2656, Val Loss: 19874.4336
Epoch [7/3000], Trn Loss: 93070.5156, Val Loss: 18908.8594
Epoch [8/3000], Trn Loss: 85413.7422, Val Loss: 17770.2988
Epoch [9/3000], Trn Loss: 78542.5156, Val Loss: 16476.8438
Epoch [10/3000], Trn Loss: 70965.8203, Val Loss: 15069.7949
Epoch [11/3000], Trn Loss: 63255.9844, Val Loss: 13384.7217
Epoch [12/3000], Trn Loss: 55545.8242, Val Loss: 10745.5098
Epoch [13/3000], Trn Loss: 47864.7656, Val Loss: 10349.7676
Epoch [14/3000], Trn Loss: 41183.9062, Val Loss: 13889.5137
Epoch [15/3000], Trn Loss: 35620.3984, Val Loss: 15887.8496
Epoch [16/3000], Trn Loss: 31799.4902, Val Loss: 20003.5879
Epoch [17/3000], Trn Loss: 29983.0664, Val Loss: 25043.8828
Epoch [18/3000], Trn Loss: 29803.8320, Val Loss: 29801.3496
Epoch [19/3000], Trn Loss: 30428.8555, Val Loss: 35812.1016
Epoch [20/3000], Trn Loss: 30651.1484, Val Loss: 41663.0586
Epoch [21/3000], Trn Loss: 29520.2520, Val Loss: 39855.5234
Epoch [22/3000], Trn Loss: 29152.9609, Val Loss: 24956.2188
Epoch [23/3000], Trn Loss: 28490.8164, Val Loss: 25291.1465
Epoch [24/3000], Trn Loss: 28508.5156, Val Loss: 30383.0781
Epoch [25/3000], Trn Loss: 27952.2832, Val Loss: 20641.4629
Epoch [26/3000], Trn Loss: 27161.1719, Val Loss: 19985.8730
Epoch [27/3000], Trn Loss: 26976.5898, Val Loss: 25993.4453
Epoch [28/3000], Trn Loss: 26545.1074, Val Loss: 23524.3555
Epoch [29/3000], Trn Loss: 26235.9043, Val Loss: 19228.5273
Epoch [30/3000], Trn Loss: 25578.7910, Val Loss: 20838.3633
Epoch [31/3000], Trn Loss: 24936.0430, Val Loss: 21701.2949
Epoch [32/3000], Trn Loss: 24472.6758, Val Loss: 16594.2734
Epoch [33/3000], Trn Loss: 23914.3184, Val Loss: 18956.9141
Epoch [34/3000], Trn Loss: 23226.0586, Val Loss: 19243.4727
Epoch [35/3000], Trn Loss: 22535.2344, Val Loss: 15247.7266
Epoch [36/3000], Trn Loss: 22177.9512, Val Loss: 24550.1367
Epoch [37/3000], Trn Loss: 22474.5449, Val Loss: 13815.5684
Epoch [38/3000], Trn Loss: 22505.6484, Val Loss: 28899.8105
Epoch [39/3000], Trn Loss: 20787.4863, Val Loss: 19572.5586
Epoch [40/3000], Trn Loss: 21066.1270, Val Loss: 15463.4268
Epoch [41/3000], Trn Loss: 21730.2344, Val Loss: 29225.1641
Epoch [42/3000], Trn Loss: 19970.8223, Val Loss: 18294.0039
Epoch [43/3000], Trn Loss: 20078.1172, Val Loss: 16250.7451
Epoch [44/3000], Trn Loss: 20557.5664, Val Loss: 25531.2168
Epoch [45/3000], Trn Loss: 19179.8516, Val Loss: 19765.7344
Epoch [46/3000], Trn Loss: 20059.3691, Val Loss: 15414.8193
Epoch [47/3000], Trn Loss: 19433.3848, Val Loss: 22467.0059
Epoch [48/3000], Trn Loss: 19061.4980, Val Loss: 21877.5293
Epoch [49/3000], Trn Loss: 19540.1543, Val Loss: 14643.4863
Epoch [50/3000], Trn Loss: 18529.5156, Val Loss: 17724.8105
Epoch [51/3000], Trn Loss: 19015.0898, Val Loss: 20585.1211
Epoch [52/3000], Trn Loss: 18505.8906, Val Loss: 15076.1494
Epoch [53/3000], Trn Loss: 18396.9141, Val Loss: 14487.0400
Epoch [54/3000], Trn Loss: 18526.8477, Val Loss: 18277.3242
Epoch [55/3000], Trn Loss: 17980.9727, Val Loss: 16447.8809
Epoch [56/3000], Trn Loss: 18306.2910, Val Loss: 13527.0918
Epoch [57/3000], Trn Loss: 17806.1289, Val Loss: 17480.0801
Epoch [58/3000], Trn Loss: 17633.2773, Val Loss: 18654.4453
Epoch [59/3000], Trn Loss: 17773.9082, Val Loss: 14423.2373
Epoch [60/3000], Trn Loss: 17250.6602, Val Loss: 18592.3418
Epoch [61/3000], Trn Loss: 17184.5312, Val Loss: 20039.4590
Epoch [62/3000], Trn Loss: 17315.3164, Val Loss: 15033.4980
Epoch [63/3000], Trn Loss: 16952.3398, Val Loss: 19197.0215
Epoch [64/3000], Trn Loss: 16741.6172, Val Loss: 18661.6348
Epoch [65/3000], Trn Loss: 16902.2637, Val Loss: 14601.4336
Epoch [66/3000], Trn Loss: 16874.1348, Val Loss: 20429.6602
Epoch [67/3000], Trn Loss: 16490.5879, Val Loss: 15486.5713
Epoch [68/3000], Trn Loss: 16278.8145, Val Loss: 16095.7080
Epoch [69/3000], Trn Loss: 16350.4590, Val Loss: 19098.3262
Epoch [70/3000], Trn Loss: 16514.2988, Val Loss: 13721.8506
Epoch [71/3000], Trn Loss: 16626.4004, Val Loss: 21250.1797
Epoch [72/3000], Trn Loss: 16394.4414, Val Loss: 13882.2227
Epoch [73/3000], Trn Loss: 16010.2871, Val Loss: 18599.7617
Epoch [74/3000], Trn Loss: 15758.9043, Val Loss: 16885.3926
Epoch [75/3000], Trn Loss: 15804.9268, Val Loss: 14824.6680
Epoch [76/3000], Trn Loss: 15995.2744, Val Loss: 20044.0527
Epoch [77/3000], Trn Loss: 16085.7744, Val Loss: 13309.0293
Epoch [78/3000], Trn Loss: 15994.7832, Val Loss: 19925.5840
Epoch [79/3000], Trn Loss: 15633.0977, Val Loss: 14072.8467
Epoch [80/3000], Trn Loss: 15308.0801, Val Loss: 16491.4082
Epoch [81/3000], Trn Loss: 15214.2529, Val Loss: 16586.4492
Epoch [82/3000], Trn Loss: 15343.9746, Val Loss: 13779.6709
Epoch [83/3000], Trn Loss: 15648.7275, Val Loss: 19375.4551
Epoch [84/3000], Trn Loss: 16035.2432, Val Loss: 12027.5000
Epoch [85/3000], Trn Loss: 16240.7910, Val Loss: 20394.7480
Epoch [86/3000], Trn Loss: 15579.9121, Val Loss: 12608.2803
Epoch [87/3000], Trn Loss: 14876.4707, Val Loss: 15465.5107
Epoch [88/3000], Trn Loss: 15047.8398, Val Loss: 17359.0391
Epoch [89/3000], Trn Loss: 15638.9121, Val Loss: 12026.6943
Epoch [90/3000], Trn Loss: 15716.6758, Val Loss: 19401.2305
Epoch [91/3000], Trn Loss: 15015.2197, Val Loss: 12937.1768
Epoch [92/3000], Trn Loss: 14614.0508, Val Loss: 14223.4814
Epoch [93/3000], Trn Loss: 14955.5400, Val Loss: 16847.3145
Epoch [94/3000], Trn Loss: 15209.5146, Val Loss: 11664.3213
Epoch [95/3000], Trn Loss: 14915.7969, Val Loss: 16632.5586
Epoch [96/3000], Trn Loss: 14439.2539, Val Loss: 13223.2178
Epoch [97/3000], Trn Loss: 14426.7734, Val Loss: 12748.1562
Epoch [98/3000], Trn Loss: 14720.2148, Val Loss: 16072.2217
Epoch [99/3000], Trn Loss: 14755.0371, Val Loss: 11540.7178
Epoch [100/3000], Trn Loss: 14464.5742, Val Loss: 15032.9629
Epoch [101/3000], Trn Loss: 14190.0898, Val Loss: 13119.9365
Epoch [102/3000], Trn Loss: 14242.3389, Val Loss: 12283.8457
Epoch [103/3000], Trn Loss: 14455.4473, Val Loss: 15311.0254
Epoch [104/3000], Trn Loss: 14506.9834, Val Loss: 11419.6221
Epoch [105/3000], Trn Loss: 14351.6836, Val Loss: 15139.9111
