This is a log message.

Current time: 2023-08-01 19:23:07.617737

--------------------Hyperparameters--------------------

model: {'seqLeng': 60, 'input_dim': 8, 'output_dim': 1, 'nHidden1': 128, 'dropout1': 0, 'num_layers1': 2, 'nHidden2': 256, 'dropout2': 0, 'num_layers2': 1, 'activ': 'glu', 'cnn_dropout': 0, 'kernel_size': [3, 3], 'padding': [1, 1], 'stride': [1, 1], 'nb_filters': [64, 128], 'pooling': [1, 1]}

learning: {'nBatch': 24, 'lr': 0.001, 'max_epoch': 3000}

loss_plot_flag: True

save_losses: True

save_result: True

Model name: lstm-cnn


--------------------Training Mode (Training and Validating)--------------------
Training on the interval from 20220101 to 20221231.
Validating on the interval from 20220609 to 20221231.

Epoch [1/3000], Trn Loss: 144193.2812, Val Loss: 31886.7969
Epoch [2/3000], Trn Loss: 137935.0781, Val Loss: 32346.4023
Epoch [3/3000], Trn Loss: 127539.2812, Val Loss: 30375.1445
Epoch [4/3000], Trn Loss: 120353.0469, Val Loss: 25771.3828
Epoch [5/3000], Trn Loss: 113937.6328, Val Loss: 22686.2246
Epoch [6/3000], Trn Loss: 106803.0703, Val Loss: 21356.5977
Epoch [7/3000], Trn Loss: 98923.0469, Val Loss: 20269.2168
Epoch [8/3000], Trn Loss: 90665.5938, Val Loss: 18200.6250
Epoch [9/3000], Trn Loss: 82903.5391, Val Loss: 16550.8301
Epoch [10/3000], Trn Loss: 75383.7031, Val Loss: 15087.9141
Epoch [11/3000], Trn Loss: 67928.4375, Val Loss: 12912.1299
Epoch [12/3000], Trn Loss: 59435.2852, Val Loss: 11381.2676
Epoch [13/3000], Trn Loss: 50030.7695, Val Loss: 11390.2773
Epoch [14/3000], Trn Loss: 40634.7031, Val Loss: 12355.3506
Epoch [15/3000], Trn Loss: 34026.9492, Val Loss: 12730.0898
Epoch [16/3000], Trn Loss: 30206.9863, Val Loss: 20289.3066
Epoch [17/3000], Trn Loss: 27673.5391, Val Loss: 19410.8223
Epoch [18/3000], Trn Loss: 27124.6133, Val Loss: 19486.0566
Epoch [19/3000], Trn Loss: 25879.2012, Val Loss: 22058.3105
Epoch [20/3000], Trn Loss: 25178.1562, Val Loss: 18440.6406
