Epoch [1/3000], Trn Loss: 143514.4844, Val Loss: 33512.0156
Epoch [2/3000], Trn Loss: 139919.0625, Val Loss: 30577.5469
Epoch [3/3000], Trn Loss: 134231.9062, Val Loss: 30983.8828
Epoch [4/3000], Trn Loss: 127105.8125, Val Loss: 30695.4785
Epoch [5/3000], Trn Loss: 119195.2969, Val Loss: 27248.2363
Epoch [6/3000], Trn Loss: 111000.4141, Val Loss: 23230.1250
Epoch [7/3000], Trn Loss: 103083.3047, Val Loss: 19920.9395
Epoch [8/3000], Trn Loss: 95241.3359, Val Loss: 18313.3867
Epoch [9/3000], Trn Loss: 87927.8672, Val Loss: 18013.1621
Epoch [10/3000], Trn Loss: 81416.3047, Val Loss: 17639.3750
Epoch [11/3000], Trn Loss: 75462.0469, Val Loss: 16584.8008
Epoch [12/3000], Trn Loss: 69568.2500, Val Loss: 15454.3184
Epoch [13/3000], Trn Loss: 63453.7656, Val Loss: 15020.4746
Epoch [14/3000], Trn Loss: 57128.1914, Val Loss: 15723.1377
Epoch [15/3000], Trn Loss: 50284.6562, Val Loss: 15323.3584
Epoch [16/3000], Trn Loss: 43289.0977, Val Loss: 15208.2412
Epoch [17/3000], Trn Loss: 37056.1133, Val Loss: 20803.8262
Epoch [18/3000], Trn Loss: 32088.4590, Val Loss: 24676.9590
Epoch [19/3000], Trn Loss: 28998.5215, Val Loss: 31591.2812
Epoch [20/3000], Trn Loss: 28209.0879, Val Loss: 39771.9453
Epoch [21/3000], Trn Loss: 28803.3652, Val Loss: 40660.5117
Epoch [22/3000], Trn Loss: 28702.8984, Val Loss: 33982.7852
Epoch [23/3000], Trn Loss: 28375.8906, Val Loss: 40240.1758
Epoch [24/3000], Trn Loss: 28765.5176, Val Loss: 34541.0312
Epoch [25/3000], Trn Loss: 28553.0664, Val Loss: 29406.1328
Epoch [26/3000], Trn Loss: 28114.7031, Val Loss: 27813.4707
Epoch [27/3000], Trn Loss: 27910.4160, Val Loss: 31068.6250
Epoch [28/3000], Trn Loss: 27827.6289, Val Loss: 30781.1465
Epoch [29/3000], Trn Loss: 27717.8926, Val Loss: 29114.4883
Epoch [30/3000], Trn Loss: 27596.9238, Val Loss: 29353.8711
