This is a log message.

Current time: 2023-08-31 07:26:24.119262

--------------------Hyperparameters--------------------

model: {'seqLeng': 30, 'input_dim': 8, 'output_dim': 1, 'nHidden1': 256, 'dropout1': 0, 'num_layers1': 8, 'nHidden2': 256, 'dropout2': 0, 'num_layers2': 1, 'activ': 'glu', 'cnn_dropout': 0, 'kernel_size': [3, 3], 'padding': [1, 1], 'stride': [1, 1], 'nb_filters': [64, 128], 'pooling': [1, 1], 'nhead': 8, 'd_model': 512}

learning: {'nBatch': 24, 'lr': 0.001, 'max_epoch': 1500}

loss_plot_flag: True

save_losses: True

save_result: True

Model name: lstm


--------------------Training Mode (Training and Validating)--------------------
Training on the interval from 20220101 to 20221231.
Validating on the interval from 20220609 to 20221231.

Epoch [1/1500], Trn Loss: 143701.9375, Val Loss: 35477.3633
Epoch [2/1500], Trn Loss: 143056.6094, Val Loss: 35206.0977
Epoch [3/1500], Trn Loss: 142281.9844, Val Loss: 34740.1641
Epoch [4/1500], Trn Loss: 140942.8281, Val Loss: 33446.3867
Epoch [5/1500], Trn Loss: 137169.5312, Val Loss: 30363.8535
Epoch [6/1500], Trn Loss: 127603.9609, Val Loss: 28326.0762
Epoch [7/1500], Trn Loss: 120337.6094, Val Loss: 27195.5879
Epoch [8/1500], Trn Loss: 115675.4375, Val Loss: 26427.2793
Epoch [9/1500], Trn Loss: 111896.7422, Val Loss: 25921.1797
Epoch [10/1500], Trn Loss: 108648.2969, Val Loss: 25659.2734
Epoch [11/1500], Trn Loss: 105919.7812, Val Loss: 25612.7285
Epoch [12/1500], Trn Loss: 103741.9219, Val Loss: 25728.8711
Epoch [13/1500], Trn Loss: 102092.8203, Val Loss: 25945.5977
Epoch [14/1500], Trn Loss: 100863.6953, Val Loss: 26220.1484
Epoch [15/1500], Trn Loss: 99923.4219, Val Loss: 26537.8535
Epoch [16/1500], Trn Loss: 99202.1641, Val Loss: 26892.6777
Epoch [17/1500], Trn Loss: 98671.1875, Val Loss: 27271.2168
Epoch [18/1500], Trn Loss: 98292.4375, Val Loss: 27653.9512
Epoch [19/1500], Trn Loss: 98015.7500, Val Loss: 28025.4707
Epoch [20/1500], Trn Loss: 97794.6250, Val Loss: 28378.5703
