This is a log message.

Current time: 2023-08-31 11:41:12.259287

--------------------Hyperparameters--------------------

model: {'seqLeng': 30, 'input_dim': 8, 'output_dim': 1, 'nHidden1': 256, 'dropout1': 0, 'num_layers1': 8, 'nHidden2': 256, 'dropout2': 0, 'num_layers2': 1, 'activ': 'glu', 'cnn_dropout': 0, 'kernel_size': [3, 3], 'padding': [1, 1], 'stride': [1, 1], 'nb_filters': [64, 128], 'pooling': [1, 1], 'nhead': 8, 'd_model': 512}

learning: {'nBatch': 24, 'lr': 0.001, 'max_epoch': 3000}

loss_plot_flag: True

save_losses: True

save_result: True

Model name: lstm


--------------------Training Mode (Training and Validating)--------------------
Training on the interval from 20220101 to 20221231.
Validating on the interval from 20220609 to 20221231.

Epoch [1/3000], Trn Loss: 143860.7188, Val Loss: 35521.9609
Epoch [2/3000], Trn Loss: 143183.5781, Val Loss: 35239.1758
Epoch [3/3000], Trn Loss: 142376.6406, Val Loss: 34775.7070
Epoch [4/3000], Trn Loss: 141045.1250, Val Loss: 33597.7422
Epoch [5/3000], Trn Loss: 137614.2656, Val Loss: 30667.5488
Epoch [6/3000], Trn Loss: 128598.8047, Val Loss: 28603.7188
Epoch [7/3000], Trn Loss: 121378.7266, Val Loss: 27411.3926
Epoch [8/3000], Trn Loss: 116614.9609, Val Loss: 26570.2441
Epoch [9/3000], Trn Loss: 112659.0703, Val Loss: 26005.0938
Epoch [10/3000], Trn Loss: 109265.6641, Val Loss: 25696.4316
Epoch [11/3000], Trn Loss: 106435.2422, Val Loss: 25610.6777
Epoch [12/3000], Trn Loss: 104172.8672, Val Loss: 25696.3984
Epoch [13/3000], Trn Loss: 102441.3281, Val Loss: 25894.6680
Epoch [14/3000], Trn Loss: 101129.2344, Val Loss: 26162.7832
Epoch [15/3000], Trn Loss: 100121.4219, Val Loss: 26481.5332
Epoch [16/3000], Trn Loss: 99355.9141, Val Loss: 26837.4414
Epoch [17/3000], Trn Loss: 98800.2812, Val Loss: 27212.8906
Epoch [18/3000], Trn Loss: 98406.6641, Val Loss: 27590.9844
Epoch [19/3000], Trn Loss: 98117.3672, Val Loss: 27960.9395
Epoch [20/3000], Trn Loss: 97884.2500, Val Loss: 28316.6055
