This is a log message.

Current time: 2023-08-03 02:32:18.084326

--------------------Hyperparameters--------------------

model: {'seqLeng': 60, 'input_dim': 8, 'output_dim': 1, 'nHidden1': 256, 'dropout1': 0, 'num_layers1': 2, 'nHidden2': 128, 'dropout2': 0, 'num_layers2': 1, 'activ': 'glu', 'cnn_dropout': 0, 'kernel_size': [3, 3], 'padding': [1, 1], 'stride': [1, 1], 'nb_filters': [64, 128], 'pooling': [1, 1]}

learning: {'nBatch': 24, 'lr': 0.001, 'max_epoch': 3000}

loss_plot_flag: True

save_losses: True

save_result: True

Model name: lstmcnn-basic


--------------------Training Mode (Training and Validating)--------------------
Training on the interval from 20220101 to 20221231.
Validating on the interval from 20220609 to 20221231.

Epoch [1/3000], Trn Loss: 144304.0469, Val Loss: 30551.8203
Epoch [2/3000], Trn Loss: 128373.0469, Val Loss: 22075.6660
Epoch [3/3000], Trn Loss: 94284.5234, Val Loss: 39322.8125
Epoch [4/3000], Trn Loss: 82686.2891, Val Loss: 30557.7344
Epoch [5/3000], Trn Loss: 62612.2227, Val Loss: 13940.7510
Epoch [6/3000], Trn Loss: 44980.9844, Val Loss: 10931.8740
Epoch [7/3000], Trn Loss: 38765.4727, Val Loss: 19627.1602
Epoch [8/3000], Trn Loss: 32304.0703, Val Loss: 39702.9883
Epoch [9/3000], Trn Loss: 41834.2109, Val Loss: 19090.2266
Epoch [10/3000], Trn Loss: 26926.2617, Val Loss: 10873.5020
Epoch [11/3000], Trn Loss: 30586.2051, Val Loss: 11338.3477
Epoch [12/3000], Trn Loss: 31410.6309, Val Loss: 16573.4785
Epoch [13/3000], Trn Loss: 29525.4707, Val Loss: 23514.6055
Epoch [14/3000], Trn Loss: 30105.7129, Val Loss: 21067.7207
Epoch [15/3000], Trn Loss: 26467.1758, Val Loss: 14073.7451
Epoch [16/3000], Trn Loss: 23866.5957, Val Loss: 12235.8623
Epoch [17/3000], Trn Loss: 25695.0879, Val Loss: 15176.0938
Epoch [18/3000], Trn Loss: 24954.5488, Val Loss: 21171.6465
Epoch [19/3000], Trn Loss: 25207.5000, Val Loss: 20531.4004
Epoch [20/3000], Trn Loss: 24085.1699, Val Loss: 14469.6748
