This is a log message.

Current time: 2023-08-03 00:39:35.133954

--------------------Hyperparameters--------------------

model: {'seqLeng': 60, 'input_dim': 8, 'output_dim': 1, 'nHidden1': 512, 'dropout1': 0, 'num_layers1': 2, 'nHidden2': 256, 'dropout2': 0, 'num_layers2': 1, 'activ': 'glu', 'cnn_dropout': 0, 'kernel_size': [3, 3], 'padding': [1, 1], 'stride': [1, 1], 'nb_filters': [64, 128], 'pooling': [1, 1]}

learning: {'nBatch': 24, 'lr': 0.001, 'max_epoch': 3000}

loss_plot_flag: True

save_losses: True

save_result: True

Model name: lstmcnn-basic


--------------------Training Mode (Training and Validating)--------------------
Training on the interval from 20220101 to 20221231.
Validating on the interval from 20220609 to 20221231.

Epoch [1/3000], Trn Loss: 143826.6875, Val Loss: 26467.4746
Epoch [2/3000], Trn Loss: 114333.0859, Val Loss: 41811.5312
Epoch [3/3000], Trn Loss: 87466.4844, Val Loss: 19120.0293
Epoch [4/3000], Trn Loss: 61451.7344, Val Loss: 11764.8877
Epoch [5/3000], Trn Loss: 47364.5781, Val Loss: 17618.1465
Epoch [6/3000], Trn Loss: 29757.3145, Val Loss: 40061.0703
Epoch [7/3000], Trn Loss: 42749.8086, Val Loss: 11895.3115
Epoch [8/3000], Trn Loss: 37953.2578, Val Loss: 11046.0762
Epoch [9/3000], Trn Loss: 30744.9004, Val Loss: 27139.0000
Epoch [10/3000], Trn Loss: 35327.0508, Val Loss: 24525.7422
Epoch [11/3000], Trn Loss: 32706.1152, Val Loss: 13111.9453
Epoch [12/3000], Trn Loss: 27747.6094, Val Loss: 11264.4385
Epoch [13/3000], Trn Loss: 27272.9902, Val Loss: 16935.2031
Epoch [14/3000], Trn Loss: 25234.0840, Val Loss: 25836.2207
Epoch [15/3000], Trn Loss: 28475.7910, Val Loss: 18111.8672
Epoch [16/3000], Trn Loss: 24678.0430, Val Loss: 11965.3076
Epoch [17/3000], Trn Loss: 25257.1445, Val Loss: 12968.9717
Epoch [18/3000], Trn Loss: 24274.4609, Val Loss: 19623.5332
Epoch [19/3000], Trn Loss: 24499.8867, Val Loss: 20430.3711
Epoch [20/3000], Trn Loss: 24479.2227, Val Loss: 13943.2666
