This is a log message.

Current time: 2023-08-24 09:52:10.853670

--------------------Hyperparameters--------------------

model: {'seqLeng': 60, 'input_dim': 8, 'output_dim': 1, 'nHidden1': 256, 'dropout1': 0, 'num_layers1': 8, 'nHidden2': 256, 'dropout2': 0, 'num_layers2': 1, 'activ': 'glu', 'cnn_dropout': 0, 'kernel_size': [3, 3], 'padding': [1, 1], 'stride': [1, 1], 'nb_filters': [64, 128], 'pooling': [1, 1], 'nhead': 8, 'd_model': 512}

learning: {'nBatch': 24, 'lr': 0.001, 'max_epoch': 3000}

loss_plot_flag: True

save_losses: True

save_result: True

Model name: transformer


--------------------Training Mode (Training and Validating)--------------------
Training on the interval from 20220101 to 20221231.
Validating on the interval from 20220609 to 20221231.

Epoch [1/3000], Trn Loss: 192.6536, Val Loss: 111.1089
Epoch [2/3000], Trn Loss: 193.3152, Val Loss: 110.0798
Epoch [3/3000], Trn Loss: 192.6336, Val Loss: 112.1430
Epoch [4/3000], Trn Loss: 194.5174, Val Loss: 109.2430
Epoch [5/3000], Trn Loss: 193.9908, Val Loss: 109.1455
Epoch [6/3000], Trn Loss: 194.1320, Val Loss: 109.2081
Epoch [7/3000], Trn Loss: 194.1439, Val Loss: 109.2768
Epoch [8/3000], Trn Loss: 193.7065, Val Loss: 109.2152
Epoch [9/3000], Trn Loss: 193.4018, Val Loss: 109.3412
Epoch [10/3000], Trn Loss: 194.0741, Val Loss: 109.5145
Epoch [11/3000], Trn Loss: 193.8259, Val Loss: 109.5951
Epoch [12/3000], Trn Loss: 193.2397, Val Loss: 109.8648
Epoch [13/3000], Trn Loss: 193.4763, Val Loss: 109.6339
Epoch [14/3000], Trn Loss: 193.5955, Val Loss: 109.4718
Epoch [15/3000], Trn Loss: 193.0626, Val Loss: 110.1628
Epoch [16/3000], Trn Loss: 193.8031, Val Loss: 109.6259
Epoch [17/3000], Trn Loss: 193.9906, Val Loss: 110.1176
Epoch [18/3000], Trn Loss: 194.9454, Val Loss: 109.1076
Epoch [19/3000], Trn Loss: 193.4652, Val Loss: 109.6600
Epoch [20/3000], Trn Loss: 193.8484, Val Loss: 109.9005
Epoch [21/3000], Trn Loss: 194.1483, Val Loss: 109.9890
