This is a log message.

Current time: 2023-08-24 22:10:21.483326

--------------------Hyperparameters--------------------

model: {'seqLeng': 60, 'input_dim': 8, 'output_dim': 1, 'nHidden1': 256, 'dropout1': 0, 'num_layers1': 8, 'nHidden2': 256, 'dropout2': 0, 'num_layers2': 1, 'activ': 'glu', 'cnn_dropout': 0, 'kernel_size': [3, 3], 'padding': [1, 1], 'stride': [1, 1], 'nb_filters': [64, 128], 'pooling': [1, 1], 'nhead': 8, 'd_model': 512}

learning: {'nBatch': 24, 'lr': 0.001, 'max_epoch': 1500}

loss_plot_flag: True

save_losses: True

save_result: True

Model name: transformer


--------------------Training Mode (Training and Validating)--------------------
Training on the interval from 20220101 to 20221231.
Validating on the interval from 20220609 to 20221231.

Epoch [1/1500], Trn Loss: 192.9424, Val Loss: 111.3009
Epoch [2/1500], Trn Loss: 193.3373, Val Loss: 110.2738
Epoch [3/1500], Trn Loss: 193.1104, Val Loss: 110.0672
Epoch [4/1500], Trn Loss: 192.9422, Val Loss: 110.1054
Epoch [5/1500], Trn Loss: 193.2899, Val Loss: 110.3670
Epoch [6/1500], Trn Loss: 194.1844, Val Loss: 109.6192
Epoch [7/1500], Trn Loss: 193.2163, Val Loss: 109.8249
Epoch [8/1500], Trn Loss: 193.6189, Val Loss: 109.6255
Epoch [9/1500], Trn Loss: 193.2630, Val Loss: 109.5596
Epoch [10/1500], Trn Loss: 193.3092, Val Loss: 109.2386
Epoch [11/1500], Trn Loss: 195.0708, Val Loss: 109.0636
Epoch [12/1500], Trn Loss: 194.1176, Val Loss: 109.6884
Epoch [13/1500], Trn Loss: 192.9265, Val Loss: 109.8993
Epoch [14/1500], Trn Loss: 193.0829, Val Loss: 109.3967
Epoch [15/1500], Trn Loss: 193.3456, Val Loss: 109.6329
Epoch [16/1500], Trn Loss: 193.2843, Val Loss: 109.8059
Epoch [17/1500], Trn Loss: 193.3603, Val Loss: 109.0431
Epoch [18/1500], Trn Loss: 193.2306, Val Loss: 109.2450
Epoch [19/1500], Trn Loss: 193.7997, Val Loss: 109.5549
Epoch [20/1500], Trn Loss: 193.1532, Val Loss: 109.2318
Epoch [21/1500], Trn Loss: 193.3310, Val Loss: 109.6997
